 obs Temp Acid Conc Nbact
   1   30    B    L    93
   2   30    B    L    95
   3   30    B    L    96
   4   30    B    L    94
   5   30    B    L    94
   6   30    B    H   100
   7   30    B    H    95
   8   30    B    H    93
   9   30    B    H    95
  10   30    B    H    97
  11   30    A    L    98
  12   30    A    L    97
  13   30    A    L   102
  14   30    A    L   100
  15   30    A    L   101
  16   30    A    H   103
  17   30    A    H   101
  18   30    A    H   100
  19   30    A    H   100
  20   30    A    H    99
  21   60    B    L   102
  22   60    B    L   105
  23   60    B    L   101
  24   60    B    L   102
  25   60    B    L   106
  26   60    B    H   103
  27   60    B    H   101
  28   60    B    H   102
  29   60    B    H   104
  30   60    B    H   106
  31   60    A    L   104
  32   60    A    L   101
  33   60    A    L   104
  34   60    A    L   102
  35   60    A    L   101
  36   60    A    H   103
  37   60    A    H   101
  38   60    A    H   102
  39   60    A    H   103
  40   60    A    H   103
  41   90    B    L    92
  42   90    B    L    88
  43   90    B    L    92
  44   90    B    L    92
  45   90    B    L    91
  46   90    B    H    96
  47   90    B    H    93
  48   90    B    H    98
  49   90    B    H    94
  50   90    B    H    95
  51   90    A    L    97
  52   90    A    L    92
  53   90    A    L    95
  54   90    A    L    97
  55   90    A    L    96
  56   90    A    H    97
  57   90    A    H    98
  58   90    A    H    98
  59   90    A    H    94
  60   90    A    H   100
